,text,label,label_text
0,setiap kata dan tindakanmu membuktikan betapa besarnya rasa percayaku padamu,7,trust
1,rasa kaget ini muncul ketika rencana untuk mengumpulkan dana sosial berhasil,6,surprise
2,tibatiba menemukan barang yang hilang setelah sekian lama mencarinya,6,surprise
3,tidak habis pikir kenapa buku ini lebih fokus pada halhal kecil daripada alur besar cerita,1,anger
4,setiap sudut rumah ini selalu mengingatkan aku padanya,5,sadness
5,ketika aku melihat pengorbanan orang terdekat untukku bikin aku terharu,6,surprise
6,satu kejadian tidak terduga bisa mengubah hariku menjadi lebih baik,6,surprise
7,tibatiba merasakan kehangatan kasih tuhan dalam pelukan keluarga,6,surprise
8,setiap hari di kantor ada hal baru yang bikin aku merasa bersemangat dan kaget,6,surprise
9,aku takut gagal dan kehilangan semua yang aku miliki,3,fear
10,rasa takut ini membuatku merasa seperti aku selalu terjebak dalam lingkaran kegagalan,3,fear
11,seringkali rasa takut bikin aku ragu buat ambil keputusan penting,3,fear
12,rasanya kosong banget sejak kehilangan dia gak tau harus bagaimana,5,sadness
13,kaget banget ketika melihat perubahan besar dalam hidupku dalam waktu singkat,6,surprise
14,aku jijik banget lihat orang buang sampah di sungai tidak punya kesadaran lingkungan,2,disgust
15,tidak tahan lagi karena barang ini sama sekali tidak memenuhi ekspektasi,1,anger
16,kejamnya dunia ini bikin aku kehilangan kepercayaan pada kebaikan,5,sadness
17,aku merasa bahagia karena bisa berbagi kebahagiaan dengan orang lain,4,joy
18,aku gak tau kapan bisa sembuh dari rasa kehilangan ini,5,sadness
19,tidak sabar buat ikut kelas yoga minggu depan,0,anticipation
20,aku takut bahwa semua ini tidak akan pernah menjadi lebih baik,3,fear
21,bahagia itu ketika bisa merasakan kedamaian meski sedang menghadapi banyak tantangan,4,joy
22,marah banget karena alat hobiku rusak padahal baru aja beli,1,anger
23,gak nyangka bisa mengambil keputusan untuk merelakan masa lalu yang menyakitkan,6,surprise
24,rasa takut bikin aku sering mikir terlalu jauh ke depan sampai lupa nikmatin yang ada sekarang,3,fear
25,rasanya frustasi karena dunia ini penuh dengan ketidakpedulian dan egoisme,1,anger
26,rasa takut ini terus menghantui setiap hari tidak bisa merasa tenang,3,fear
27,hidup ini berat ketika kamu merasa gak ada yang benarbenar sayang sama kamu,5,sadness
28,aku merasa sangat bahagia karena bisa menyelesaikan semua tugas hari ini,4,joy
